Step nSia nVac sinked annihilated
34800000000 0 118 4 40
34900000000 0 118 5 50
35000000000 0 118 4 47
35100000000 0 118 3 46
35200000000 0 118 2 42
35300000000 0 118 2 47
35400000000 0 118 6 41
35500000000 0 118 2 51
35600000000 0 118 4 39
35700000000 0 118 6 52
35800000000 0 118 2 56
35900000000 0 118 5 49
36000000000 1 118 3 43
36100000000 0 118 2 48
36200000000 0 118 2 52
36300000000 0 118 5 49
36400000000 0 118 5 53
36500000000 0 118 6 46
36600000000 0 118 4 47
36700000000 0 118 2 53
36800000000 0 118 5 41
36900000000 0 118 2 49
37000000000 0 118 2 40
37100000000 0 118 5 53
37200000000 0 118 2 51
37300000000 0 118 4 44
37400000000 0 118 3 44
37500000000 0 118 5 44
37600000000 0 118 3 45
37700000000 0 118 2 50
37800000000 0 118 2 42
37900000000 0 118 7 49
38000000000 0 118 7 43
38100000000 0 118 3 46
38200000000 0 118 2 53
38300000000 0 118 2 46
38400000000 0 118 8 43
38500000000 0 118 2 60
38600000000 0 118 0 48
38700000000 0 118 0 52
38800000000 0 118 4 50
38900000000 0 118 5 49
39000000000 0 118 3 51
39100000000 0 118 3 45
39200000000 0 118 6 45
39300000000 0 118 3 45
39400000000 0 118 3 48
39500000000 0 118 4 46
39600000000 0 118 4 50
39700000000 0 118 3 48
39800000000 0 118 3 37
39900000000 0 118 3 45
40000000000 0 118 2 50
40100000000 0 118 5 45
40200000000 1 118 2 36
40300000000 0 118 3 50
40400000000 0 118 0 52
40500000000 1 118 3 49
40600000000 0 118 4 46
40700000000 0 118 5 43
40800000000 0 118 3 44
40900000000 0 118 2 42
41000000000 0 118 2 43
41100000000 0 118 3 49
41200000000 0 118 2 49
41300000000 0 118 4 54
41400000000 0 118 5 43
41500000000 0 118 7 47
41600000000 0 118 4 49
41700000000 0 118 3 51
41800000000 0 118 1 41
41900000000 0 118 3 32
42000000000 0 118 7 44
42100000000 0 118 6 45
42200000000 0 118 6 44
42300000000 0 118 4 47
42400000000 0 118 4 42
42500000000 0 118 5 46
42600000000 0 118 1 46
42700000000 0 118 4 44
42800000000 0 118 4 43
42900000000 0 118 2 54
43000000000 0 118 3 50
43100000000 0 118 6 43
43200000000 0 118 3 47
43300000000 0 118 2 51
43400000000 0 118 4 39
43500000000 0 118 2 47
43600000000 0 118 3 47
43700000000 0 118 2 41
43800000000 0 118 5 50
43900000000 0 118 7 48
44000000000 0 118 2 43
44100000000 0 118 2 44
44200000000 0 118 4 52
44300000000 0 118 6 54
44400000000 0 118 2 44
44500000000 0 118 4 43
44600000000 0 118 2 56
44700000000 0 118 4 48
44800000000 0 118 4 53
44900000000 0 118 5 49
45000000000 0 118 2 47
45100000000 0 118 4 46
45200000000 0 118 2 51
45300000000 0 118 6 44
45400000000 0 118 1 54
45500000000 0 118 2 48
45600000000 0 118 0 50
45700000000 0 118 3 49
45800000000 0 118 0 52
45900000000 0 118 3 49
46000000000 1 118 2 40
46100000000 1 118 3 43
46200000000 0 118 2 53
46300000000 0 118 1 38
46400000000 0 118 2 53
46500000000 0 118 0 54
46600000000 0 118 8 45
46700000000 0 118 4 35
46800000000 0 118 1 48
46900000000 0 118 3 45
47000000000 0 118 2 48
47100000000 0 118 3 44
47200000000 0 118 0 48
47300000000 0 118 7 39
47400000000 0 118 2 49
47500000000 0 118 4 55
47600000000 0 118 5 49
47700000000 0 118 5 50
47800000000 0 118 1 61
47900000000 0 118 1 48
48000000000 0 118 2 47
48100000000 0 118 4 54
48200000000 0 118 1 49
48300000000 0 118 1 48
48400000000 0 118 3 45
48500000000 0 118 2 49
48600000000 0 118 1 51
48700000000 0 118 5 51
48800000000 0 118 6 51
48900000000 0 118 7 51
49000000000 0 118 2 50
49100000000 0 118 5 46
49200000000 0 118 1 46
49300000000 0 118 3 49
49400000000 0 118 3 50
49500000000 0 118 2 54
49600000000 0 118 3 43
49700000000 0 118 4 47
49800000000 0 118 4 54
49900000000 0 118 4 46
50000000000 0 118 4 47
50100000000 0 118 4 51
50200000000 0 118 3 42
50300000000 0 118 4 49
50400000000 0 118 2 51
50500000000 0 118 1 57
50600000000 0 118 3 51
50700000000 0 118 6 40
50800000000 0 118 4 50
50900000000 0 118 3 55
51000000000 0 118 3 47
51100000000 0 118 5 46
51200000000 0 118 3 40
51300000000 0 118 4 51
51400000000 0 118 5 45
51500000000 0 118 6 51
51600000000 0 118 1 46
51700000000 0 118 7 50
51800000000 0 118 2 49
51900000000 0 118 2 52
52000000000 0 118 3 55
52100000000 0 118 4 46
52200000000 0 118 3 55
52300000000 0 118 2 37
52400000000 0 118 1 45
52500000000 0 118 3 49
52600000000 0 118 4 55
52700000000 0 118 3 46
52800000000 0 118 2 46
52900000000 0 118 3 51
53000000000 0 118 3 41
53100000000 0 118 3 46
53200000000 0 118 2 49
53300000000 0 118 3 55
53400000000 0 118 3 41
53500000000 0 118 1 46
53600000000 0 118 1 49
53700000000 0 118 1 59
53800000000 0 118 3 43
53900000000 0 118 2 50
54000000000 0 118 3 46
54100000000 0 118 5 54
54200000000 1 118 3 39
54300000000 0 118 3 43
54400000000 0 118 5 50
54500000000 0 118 1 46
54600000000 0 118 1 45
54700000000 0 118 1 49
54800000000 0 118 7 46
54900000000 0 118 2 47
55000000000 0 118 3 50
55100000000 1 118 2 47
55200000000 0 118 0 42
55300000000 0 118 2 51
55400000000 0 118 5 56
55500000000 0 118 2 52
55600000000 0 118 4 55
55700000000 0 118 5 45
55800000000 0 118 4 42
55900000000 0 118 3 42
56000000000 0 118 3 43
56100000000 0 118 3 46
56200000000 0 118 2 47
56300000000 0 118 2 40
56400000000 0 118 1 44
56500000000 0 118 2 49
56600000000 0 118 3 46
56700000000 0 118 3 42
56800000000 0 118 3 39
56900000000 0 118 2 43
57000000000 0 118 1 46
57100000000 0 118 4 52
57200000000 0 118 1 48
57300000000 0 118 2 47
57400000000 0 118 3 40
57500000000 0 118 1 57
57600000000 0 118 4 41
57700000000 0 118 6 47
57800000000 0 118 3 42
57900000000 0 118 3 52
58000000000 0 118 1 50
58100000000 0 118 3 49
58200000000 0 118 9 54
58300000000 0 118 1 54
58400000000 0 118 2 40
58500000000 0 118 0 50
58600000000 0 118 4 54
58700000000 0 118 2 47
58800000000 0 118 2 54
58900000000 0 118 2 52
59000000000 0 118 2 51
59100000000 0 118 0 41
59200000000 0 118 2 42
59300000000 0 118 4 48
59400000000 0 118 1 47
59500000000 0 118 3 41
59600000000 0 118 3 41
59700000000 0 118 4 47
59800000000 0 118 5 48
59900000000 0 118 1 39
60000000000 0 118 3 50
60100000000 0 118 5 44
60200000000 0 118 3 39
60300000000 1 118 5 47
60400000000 0 118 2 42
60500000000 0 118 1 45
60600000000 0 118 2 40
60700000000 0 118 4 45
60800000000 0 118 2 40
60900000000 0 118 7 37
61000000000 0 118 0 45
61100000000 0 118 4 52
61200000000 0 118 2 40
61300000000 0 118 3 56
61400000000 0 118 2 44
61500000000 0 118 2 45
61600000000 0 118 2 53
61700000000 0 118 2 53
61800000000 0 118 2 48
61900000000 0 118 3 43
62000000000 0 118 3 40
62100000000 0 118 5 40
62200000000 0 118 1 46
62300000000 0 118 2 51
62400000000 0 118 7 49
62500000000 0 118 2 48
62600000000 0 118 2 52
62700000000 0 118 2 50
62800000000 0 118 3 47
62900000000 0 118 1 41
63000000000 0 118 4 43
63100000000 0 118 4 55
63200000000 0 118 2 42
63300000000 1 118 3 52
63400000000 0 118 1 51
63500000000 0 118 3 51
63600000000 0 118 0 38
63700000000 0 118 3 44
63800000000 0 118 2 53
63900000000 0 118 2 48
64000000000 0 118 3 44
64100000000 0 118 5 50
64200000000 0 118 2 39
64300000000 0 118 4 44
64400000000 0 118 2 53
64500000000 0 118 5 52
64600000000 0 118 0 47
64700000000 0 118 3 44
